,date,open,close,high,low,volume,code
1600,2016-08-12,227.082,226.652,227.082,223.692,23352.0,600519
1601,2016-08-15,225.482,228.462,231.372,223.832,34110.0,600519
1602,2016-08-16,231.682,219.202,232.162,217.682,88378.0,600519
1603,2016-08-17,219.282,217.842,220.652,216.182,43754.0,600519
1604,2016-08-18,217.632,216.112,219.332,214.812,31005.0,600519
1605,2016-08-19,215.482,216.162,217.132,214.482,19140.0,600519
1606,2016-08-22,215.812,217.002,219.262,215.682,20812.0,600519
1607,2016-08-23,217.012,216.562,218.722,215.482,19914.0,600519
1608,2016-08-24,216.702,214.962,217.172,213.512,22779.0,600519
1609,2016-08-25,214.882,212.692,215.062,209.752,25362.0,600519
1610,2016-08-26,212.822,211.132,214.232,210.082,21436.0,600519
1611,2016-08-29,217.682,217.212,218.482,214.882,38055.0,600519
1612,2016-08-30,216.682,215.542,218.182,214.352,21170.0,600519
1613,2016-08-31,216.382,219.872,220.442,215.222,40401.0,600519
1614,2016-09-01,219.382,218.392,221.682,217.932,17185.0,600519
1615,2016-09-02,217.682,215.462,219.132,214.562,18572.0,600519
1616,2016-09-05,215.882,218.182,218.682,215.492,19138.0,600519
1617,2016-09-06,218.182,219.622,220.042,218.032,20625.0,600519
1618,2016-09-07,219.362,216.282,219.362,215.182,29645.0,600519
1619,2016-09-08,214.892,215.502,216.182,214.092,16705.0,600519
1620,2016-09-09,216.332,214.312,216.542,213.682,16222.0,600519
1621,2016-09-12,211.682,207.742,213.682,207.452,38238.0,600519
1622,2016-09-13,209.632,210.112,210.652,208.982,16255.0,600519
1623,2016-09-14,209.782,209.252,211.882,207.692,18527.0,600519
1624,2016-09-19,209.732,209.812,211.252,209.562,12852.0,600519
1625,2016-09-20,210.462,204.642,210.482,203.682,34892.0,600519
1626,2016-09-21,204.742,203.732,205.072,198.792,39037.0,600519
1627,2016-09-22,203.982,206.662,209.662,203.692,29606.0,600519
1628,2016-09-23,206.702,207.362,208.632,205.082,12671.0,600519
1629,2016-09-26,206.682,198.412,206.692,198.232,37176.0,600519
1630,2016-09-27,198.562,200.852,201.662,198.442,17915.0,600519
1631,2016-09-28,201.472,198.092,201.472,197.242,22360.0,600519
